TRAITID	SORT	TRAIT	plat	SHORTNAME	id
cg03963219	8025	cg03963219:chr2:84562658 0	CPG	CPG: cg03963219:chr2:84562658 0	CPG: cg03963219:chr2:84562658 0
cg03966055	8026	cg03966055:chr22:38717234 0	CPG	CPG: cg03966055:chr22:38717234 0	CPG: cg03966055:chr22:38717234 0
cg03981685	8027	cg03981685:chr1:87388242 LOC339524	CPG	CPG: cg03981685:chr1:87388242 LOC339524	CPG: cg03981685:chr1:87388242 LOC339524
cg03983220	8028	cg03983220:chr16:84125908 0	CPG	CPG: cg03983220:chr16:84125908 0	CPG: cg03983220:chr16:84125908 0
cg03988329	8029	cg03988329:chr2:177836913 NFE2L2;NFE2L2;NFE2L2	CPG	CPG: cg03988329:chr2:177836913 NFE2L2;NFE2L2;NFE2L2	CPG: cg03988329:chr2:177836913 NFE2L2;NFE2L2;NFE2L2
cg04004607	8030	cg04004607:chr16:362054 TMEM8A	CPG	CPG: cg04004607:chr16:362054 TMEM8A	CPG: cg04004607:chr16:362054 TMEM8A
cg04004768	8031	cg04004768:chr10:134502059 0	CPG	CPG: cg04004768:chr10:134502059 0	CPG: cg04004768:chr10:134502059 0
cg04010582	8032	cg04010582:chr17:26850200 RAB11FIP4	CPG	CPG: cg04010582:chr17:26850200 RAB11FIP4	CPG: cg04010582:chr17:26850200 RAB11FIP4
cg04023434	8033	cg04023434:chr1:182044888 RGL1	CPG	CPG: cg04023434:chr1:182044888 RGL1	CPG: cg04023434:chr1:182044888 RGL1
cg04033850	8034	cg04033850:chr12:47981283 0	CPG	CPG: cg04033850:chr12:47981283 0	CPG: cg04033850:chr12:47981283 0
cg04037905	8035	cg04037905:chr10:97037057 PDLIM1	CPG	CPG: cg04037905:chr10:97037057 PDLIM1	CPG: cg04037905:chr10:97037057 PDLIM1
cg04045544	8036	cg04045544:chr16:27205592 0	CPG	CPG: cg04045544:chr16:27205592 0	CPG: cg04045544:chr16:27205592 0
cg04048802	8037	cg04048802:chr15:61121990 TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1	CPG	CPG: cg04048802:chr15:61121990 TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1	CPG: cg04048802:chr15:61121990 TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1;TPM1
cg04056757	8038	cg04056757:chr17:70873298 GRB2;GRB2	CPG	CPG: cg04056757:chr17:70873298 GRB2;GRB2	CPG: cg04056757:chr17:70873298 GRB2;GRB2
cg04067249	8039	cg04067249:chr6:53438058 0	CPG	CPG: cg04067249:chr6:53438058 0	CPG: cg04067249:chr6:53438058 0
cg04075726	8040	cg04075726:chr2:69352929 0	CPG	CPG: cg04075726:chr2:69352929 0	CPG: cg04075726:chr2:69352929 0
cg04077085	8041	cg04077085:chr4:9546772 SLC2A9;SLC2A9	CPG	CPG: cg04077085:chr4:9546772 SLC2A9;SLC2A9	CPG: cg04077085:chr4:9546772 SLC2A9;SLC2A9
cg04079215	8042	cg04079215:chr1:94867809 0	CPG	CPG: cg04079215:chr1:94867809 0	CPG: cg04079215:chr1:94867809 0
cg04098763	8043	cg04098763:chr17:77669627 CCDC57	CPG	CPG: cg04098763:chr17:77669627 CCDC57	CPG: cg04098763:chr17:77669627 CCDC57
cg04126261	8044	cg04126261:chr2:233633425 INPP5D;INPP5D;INPP5D;INPP5D	CPG	CPG: cg04126261:chr2:233633425 INPP5D;INPP5D;INPP5D;INPP5D	CPG: cg04126261:chr2:233633425 INPP5D;INPP5D;INPP5D;INPP5D
cg04128967	8045	cg04128967:chr14:69116600 0	CPG	CPG: cg04128967:chr14:69116600 0	CPG: cg04128967:chr14:69116600 0
cg04138746	8046	cg04138746:chr16:16941952 0	CPG	CPG: cg04138746:chr16:16941952 0	CPG: cg04138746:chr16:16941952 0
cg04141008	8047	cg04141008:chr16:3783233 CREBBP;CREBBP	CPG	CPG: cg04141008:chr16:3783233 CREBBP;CREBBP	CPG: cg04141008:chr16:3783233 CREBBP;CREBBP
cg04141129	8048	cg04141129:chr12:32421963 BICD1;BICD1	CPG	CPG: cg04141129:chr12:32421963 BICD1;BICD1	CPG: cg04141129:chr12:32421963 BICD1;BICD1
cg04141520	8049	cg04141520:chr1:19484214 AKR7A3	CPG	CPG: cg04141520:chr1:19484214 AKR7A3	CPG: cg04141520:chr1:19484214 AKR7A3
cg04145998	8050	cg04145998:chr6:2360280 0	CPG	CPG: cg04145998:chr6:2360280 0	CPG: cg04145998:chr6:2360280 0
cg04146228	8051	cg04146228:chr8:108309046 0	CPG	CPG: cg04146228:chr8:108309046 0	CPG: cg04146228:chr8:108309046 0
cg04165759	8052	cg04165759:chr1:148715567 RPRD2	CPG	CPG: cg04165759:chr1:148715567 RPRD2	CPG: cg04165759:chr1:148715567 RPRD2
cg04165964	8053	cg04165964:chr10:95469019 0	CPG	CPG: cg04165964:chr10:95469019 0	CPG: cg04165964:chr10:95469019 0
cg04185862	8054	cg04185862:chr16:3285147 0	CPG	CPG: cg04185862:chr16:3285147 0	CPG: cg04185862:chr16:3285147 0
cg04198231	8055	cg04198231:chr14:105177184 0	CPG	CPG: cg04198231:chr14:105177184 0	CPG: cg04198231:chr14:105177184 0
cg04203742	8056	cg04203742:chr10:2361007 0	CPG	CPG: cg04203742:chr10:2361007 0	CPG: cg04203742:chr10:2361007 0
cg04205664	8057	cg04205664:chr7:138860051 CLEC2L	CPG	CPG: cg04205664:chr7:138860051 CLEC2L	CPG: cg04205664:chr7:138860051 CLEC2L
cg04216575	8058	cg04216575:chr6:32479466 BTNL2	CPG	CPG: cg04216575:chr6:32479466 BTNL2	CPG: cg04216575:chr6:32479466 BTNL2
cg04217850	8059	cg04217850:chr3:66510984 SLC25A26;SLC25A26;SLC25A26	CPG	CPG: cg04217850:chr3:66510984 SLC25A26;SLC25A26;SLC25A26	CPG: cg04217850:chr3:66510984 SLC25A26;SLC25A26;SLC25A26
cg04239247	8060	cg04239247:chr1:93737409 FNBP1L;FNBP1L;FNBP1L	CPG	CPG: cg04239247:chr1:93737409 FNBP1L;FNBP1L;FNBP1L	CPG: cg04239247:chr1:93737409 FNBP1L;FNBP1L;FNBP1L
cg04246167	8061	cg04246167:chr3:58959505 C3orf67	CPG	CPG: cg04246167:chr3:58959505 C3orf67	CPG: cg04246167:chr3:58959505 C3orf67
cg04257064	8062	cg04257064:chr12:123401344 NCOR2;NCOR2	CPG	CPG: cg04257064:chr12:123401344 NCOR2;NCOR2	CPG: cg04257064:chr12:123401344 NCOR2;NCOR2
cg04260584	8063	cg04260584:chr2:99386822 REV1;REV1	CPG	CPG: cg04260584:chr2:99386822 REV1;REV1	CPG: cg04260584:chr2:99386822 REV1;REV1
cg04266202	8064	cg04266202:chr17:53707894 MPO	CPG	CPG: cg04266202:chr17:53707894 MPO	CPG: cg04266202:chr17:53707894 MPO
cg04266607	8065	cg04266607:chr7:28188192 JAZF1	CPG	CPG: cg04266607:chr7:28188192 JAZF1	CPG: cg04266607:chr7:28188192 JAZF1
cg04290133	8066	cg04290133:chr7:65076947 GUSB	CPG	CPG: cg04290133:chr7:65076947 GUSB	CPG: cg04290133:chr7:65076947 GUSB
cg04293703	8067	cg04293703:chr6:32084665 TNXB;TNXA	CPG	CPG: cg04293703:chr6:32084665 TNXB;TNXA	CPG: cg04293703:chr6:32084665 TNXB;TNXA
cg04293770	8068	cg04293770:chr5:148310729 0	CPG	CPG: cg04293770:chr5:148310729 0	CPG: cg04293770:chr5:148310729 0
cg04295144	8069	cg04295144:chr19:10268184 ICAM5	CPG	CPG: cg04295144:chr19:10268184 ICAM5	CPG: cg04295144:chr19:10268184 ICAM5
cg04305653	8070	cg04305653:chr22:45651086 TBC1D22A	CPG	CPG: cg04305653:chr22:45651086 TBC1D22A	CPG: cg04305653:chr22:45651086 TBC1D22A
cg04321267	8071	cg04321267:chr16:159155 0	CPG	CPG: cg04321267:chr16:159155 0	CPG: cg04321267:chr16:159155 0
cg04321303	8072	cg04321303:chr7:44074029 0	CPG	CPG: cg04321303:chr7:44074029 0	CPG: cg04321303:chr7:44074029 0
cg04322162	8073	cg04322162:chr2:189024162 GULP1	CPG	CPG: cg04322162:chr2:189024162 GULP1	CPG: cg04322162:chr2:189024162 GULP1
cg04343263	8074	cg04343263:chr10:7416180 SFMBT2	CPG	CPG: cg04343263:chr10:7416180 SFMBT2	CPG: cg04343263:chr10:7416180 SFMBT2
cg04358685	8075	cg04358685:chr3:12573421 MKRN2	CPG	CPG: cg04358685:chr3:12573421 MKRN2	CPG: cg04358685:chr3:12573421 MKRN2
cg04361926	8076	cg04361926:chr16:87597686 0	CPG	CPG: cg04361926:chr16:87597686 0	CPG: cg04361926:chr16:87597686 0
cg04365699	8077	cg04365699:chr3:178803691 0	CPG	CPG: cg04365699:chr3:178803691 0	CPG: cg04365699:chr3:178803691 0
cg04385523	8078	cg04385523:chr3:44356580 C3orf23;C3orf23;C3orf23	CPG	CPG: cg04385523:chr3:44356580 C3orf23;C3orf23;C3orf23	CPG: cg04385523:chr3:44356580 C3orf23;C3orf23;C3orf23
cg04389439	8079	cg04389439:chr16:68065731 0	CPG	CPG: cg04389439:chr16:68065731 0	CPG: cg04389439:chr16:68065731 0
cg04395930	8080	cg04395930:chr19:18528852 C19orf50	CPG	CPG: cg04395930:chr19:18528852 C19orf50	CPG: cg04395930:chr19:18528852 C19orf50
cg04396685	8081	cg04396685:chr16:19032707 ITPRIPL2;ITPRIPL2	CPG	CPG: cg04396685:chr16:19032707 ITPRIPL2;ITPRIPL2	CPG: cg04396685:chr16:19032707 ITPRIPL2;ITPRIPL2
cg04398695	8082	cg04398695:chr16:790714 GNG13;GNG13	CPG	CPG: cg04398695:chr16:790714 GNG13;GNG13	CPG: cg04398695:chr16:790714 GNG13;GNG13
cg04399631	8083	cg04399631:chr3:12244362 0	CPG	CPG: cg04399631:chr3:12244362 0	CPG: cg04399631:chr3:12244362 0
cg04402575	8084	cg04402575:chr3:135528402 0	CPG	CPG: cg04402575:chr3:135528402 0	CPG: cg04402575:chr3:135528402 0
cg04406620	8085	cg04406620:chr16:68056576 CYB5B	CPG	CPG: cg04406620:chr16:68056576 CYB5B	CPG: cg04406620:chr16:68056576 CYB5B
cg04420917	8086	cg04420917:chr19:43995833 LGALS4	CPG	CPG: cg04420917:chr19:43995833 LGALS4	CPG: cg04420917:chr19:43995833 LGALS4
cg04421280	8087	cg04421280:chr13:113916327 RASA3	CPG	CPG: cg04421280:chr13:113916327 RASA3	CPG: cg04421280:chr13:113916327 RASA3
cg04441815	8088	cg04441815:chr8:144519764 0	CPG	CPG: cg04441815:chr8:144519764 0	CPG: cg04441815:chr8:144519764 0
cg04461334	8089	cg04461334:chr2:39514449 MAP4K3	CPG	CPG: cg04461334:chr2:39514449 MAP4K3	CPG: cg04461334:chr2:39514449 MAP4K3
cg04462652	8090	cg04462652:chr2:133145558 LYPD1;LYPD1	CPG	CPG: cg04462652:chr2:133145558 LYPD1;LYPD1	CPG: cg04462652:chr2:133145558 LYPD1;LYPD1
cg04468741	8091	cg04468741:chr11:12138043 MICAL2	CPG	CPG: cg04468741:chr11:12138043 MICAL2	CPG: cg04468741:chr11:12138043 MICAL2
cg04476877	8092	cg04476877:chr5:43636534 0	CPG	CPG: cg04476877:chr5:43636534 0	CPG: cg04476877:chr5:43636534 0
cg04477675	8093	cg04477675:chr6:33276427 SLC39A7;SLC39A7;RXRB	CPG	CPG: cg04477675:chr6:33276427 SLC39A7;SLC39A7;RXRB	CPG: cg04477675:chr6:33276427 SLC39A7;SLC39A7;RXRB
cg04497992	8094	cg04497992:chr16:556213 NHLRC4	CPG	CPG: cg04497992:chr16:556213 NHLRC4	CPG: cg04497992:chr16:556213 NHLRC4
cg04505750	8095	cg04505750:chr1:12697402 AADACL3;AADACL3	CPG	CPG: cg04505750:chr1:12697402 AADACL3;AADACL3	CPG: cg04505750:chr1:12697402 AADACL3;AADACL3
cg04517263	8096	cg04517263:chr9:122729014 TRAF1	CPG	CPG: cg04517263:chr9:122729014 TRAF1	CPG: cg04517263:chr9:122729014 TRAF1
cg04523589	8097	cg04523589:chr3:48240150 CAMP	CPG	CPG: cg04523589:chr3:48240150 CAMP	CPG: cg04523589:chr3:48240150 CAMP
cg04538585	8098	cg04538585:chr12:70122004 LGR5	CPG	CPG: cg04538585:chr12:70122004 LGR5	CPG: cg04538585:chr12:70122004 LGR5
cg04549076	8099	cg04549076:chr11:56914084 PRG2	CPG	CPG: cg04549076:chr11:56914084 PRG2	CPG: cg04549076:chr11:56914084 PRG2
cg04561005	8100	cg04561005:chr17:22897058 KSR1	CPG	CPG: cg04561005:chr17:22897058 KSR1	CPG: cg04561005:chr17:22897058 KSR1
cg04567315	8101	cg04567315:chr18:586703 CLUL1	CPG	CPG: cg04567315:chr18:586703 CLUL1	CPG: cg04567315:chr18:586703 CLUL1
cg04569594	8102	cg04569594:chr3:126664396 SNX4	CPG	CPG: cg04569594:chr3:126664396 SNX4	CPG: cg04569594:chr3:126664396 SNX4
cg04569651	8103	cg04569651:chr5:177888805 COL23A1	CPG	CPG: cg04569651:chr5:177888805 COL23A1	CPG: cg04569651:chr5:177888805 COL23A1
cg04570669	8104	cg04570669:chr4:71098063 ODAM	CPG	CPG: cg04570669:chr4:71098063 ODAM	CPG: cg04570669:chr4:71098063 ODAM
cg04598035	8105	cg04598035:chr6:137457839 0	CPG	CPG: cg04598035:chr6:137457839 0	CPG: cg04598035:chr6:137457839 0
cg04628797	8106	cg04628797:chr4:77848846 SHROOM3	CPG	CPG: cg04628797:chr4:77848846 SHROOM3	CPG: cg04628797:chr4:77848846 SHROOM3
cg04630827	8107	cg04630827:chr6:31475697 0	CPG	CPG: cg04630827:chr6:31475697 0	CPG: cg04630827:chr6:31475697 0
cg04637704	8108	cg04637704:chr7:128483416 LOC286016;TNPO3	CPG	CPG: cg04637704:chr7:128483416 LOC286016;TNPO3	CPG: cg04637704:chr7:128483416 LOC286016;TNPO3
cg04683149	8109	cg04683149:chr8:134272486 WISP1;WISP1	CPG	CPG: cg04683149:chr8:134272486 WISP1;WISP1	CPG: cg04683149:chr8:134272486 WISP1;WISP1
cg04690793	8110	cg04690793:chr6:34831368 SNRPC;SNRPC	CPG	CPG: cg04690793:chr6:34831368 SNRPC;SNRPC	CPG: cg04690793:chr6:34831368 SNRPC;SNRPC
cg04695796	8111	cg04695796:chr3:9784922 CAMK1	CPG	CPG: cg04695796:chr3:9784922 CAMK1	CPG: cg04695796:chr3:9784922 CAMK1
cg04738877	8112	cg04738877:chr14:87529716 GALC;GALC	CPG	CPG: cg04738877:chr14:87529716 GALC;GALC	CPG: cg04738877:chr14:87529716 GALC;GALC
cg04753078	8113	cg04753078:chr6:32171597 TNXB	CPG	CPG: cg04753078:chr6:32171597 TNXB	CPG: cg04753078:chr6:32171597 TNXB
cg04793634	8114	cg04793634:chr8:37717152 ERLIN2;ERLIN2;ERLIN2	CPG	CPG: cg04793634:chr8:37717152 ERLIN2;ERLIN2;ERLIN2	CPG: cg04793634:chr8:37717152 ERLIN2;ERLIN2;ERLIN2
cg04809712	8115	cg04809712:chr7:44716282 0	CPG	CPG: cg04809712:chr7:44716282 0	CPG: cg04809712:chr7:44716282 0
cg04825705	8116	cg04825705:chr17:77412769 P4HB	CPG	CPG: cg04825705:chr17:77412769 P4HB	CPG: cg04825705:chr17:77412769 P4HB
cg04826336	8117	cg04826336:chr7:157243040 PTPRN2;PTPRN2;PTPRN2	CPG	CPG: cg04826336:chr7:157243040 PTPRN2;PTPRN2;PTPRN2	CPG: cg04826336:chr7:157243040 PTPRN2;PTPRN2;PTPRN2
cg04831900	8118	cg04831900:chr1:94120691 0	CPG	CPG: cg04831900:chr1:94120691 0	CPG: cg04831900:chr1:94120691 0
cg04847043	8119	cg04847043:chr16:84211714 KIAA0182;KIAA0182	CPG	CPG: cg04847043:chr16:84211714 KIAA0182;KIAA0182	CPG: cg04847043:chr16:84211714 KIAA0182;KIAA0182
cg04851675	8120	cg04851675:chr15:89299084 RCCD1;RCCD1	CPG	CPG: cg04851675:chr15:89299084 RCCD1;RCCD1	CPG: cg04851675:chr15:89299084 RCCD1;RCCD1
cg04860238	8121	cg04860238:chr14:101464739 0	CPG	CPG: cg04860238:chr14:101464739 0	CPG: cg04860238:chr14:101464739 0
cg04888234	8122	cg04888234:chr1:159942203 FCRLA	CPG	CPG: cg04888234:chr1:159942203 FCRLA	CPG: cg04888234:chr1:159942203 FCRLA
cg04913803	8123	cg04913803:chr14:76580302 0	CPG	CPG: cg04913803:chr14:76580302 0	CPG: cg04913803:chr14:76580302 0
cg04914057	8124	cg04914057:chr16:73840594 BCAR1;BCAR1;BCAR1;BCAR1;BCAR1;BCAR1;BCAR1;BCAR1	CPG	CPG: cg04914057:chr16:73840594 BCAR1;BCAR1;BCAR1;BCAR1;BCAR1;BCAR1;BCAR1;BCAR1	CPG: cg04914057:chr16:73840594 BCAR1;BCAR1;BCAR1;BCAR1;BCAR1;BCAR1;BCAR1;BCAR1
cg04915788	8125	cg04915788:chr12:25048155 0	CPG	CPG: cg04915788:chr12:25048155 0	CPG: cg04915788:chr12:25048155 0
cg04922029	8126	cg04922029:chr1:157441352 DARC;DARC;DARC	CPG	CPG: cg04922029:chr1:157441352 DARC;DARC;DARC	CPG: cg04922029:chr1:157441352 DARC;DARC;DARC
cg04923746	8127	cg04923746:chr1:209732927 RD3;RD3	CPG	CPG: cg04923746:chr1:209732927 RD3;RD3	CPG: cg04923746:chr1:209732927 RD3;RD3
cg04933530	8128	cg04933530:chr14:76489507 0	CPG	CPG: cg04933530:chr14:76489507 0	CPG: cg04933530:chr14:76489507 0
cg04946561	8129	cg04946561:chr19:4853899 ARRDC5	CPG	CPG: cg04946561:chr19:4853899 ARRDC5	CPG: cg04946561:chr19:4853899 ARRDC5
cg04968013	8130	cg04968013:chr10:18827516 CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2	CPG	CPG: cg04968013:chr10:18827516 CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2	CPG: cg04968013:chr10:18827516 CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2
cg04981758	8131	cg04981758:chr1:45726614 TESK2	CPG	CPG: cg04981758:chr1:45726614 TESK2	CPG: cg04981758:chr1:45726614 TESK2
cg04983687	8132	cg04983687:chr16:87085724 ZFPM1	CPG	CPG: cg04983687:chr16:87085724 ZFPM1	CPG: cg04983687:chr16:87085724 ZFPM1
cg04984513	8133	cg04984513:chr12:124043502 BRI3BP	CPG	CPG: cg04984513:chr12:124043502 BRI3BP	CPG: cg04984513:chr12:124043502 BRI3BP
cg04988978	8134	cg04988978:chr17:53714577 MPO	CPG	CPG: cg04988978:chr17:53714577 MPO	CPG: cg04988978:chr17:53714577 MPO
cg04996251	8135	cg04996251:chr5:52892254 NDUFS4	CPG	CPG: cg04996251:chr5:52892254 NDUFS4	CPG: cg04996251:chr5:52892254 NDUFS4
cg05012125	8136	cg05012125:chr14:73105614 ACOT2;ACOT2	CPG	CPG: cg05012125:chr14:73105614 ACOT2;ACOT2	CPG: cg05012125:chr14:73105614 ACOT2;ACOT2
cg05012523	8137	cg05012523:chr14:93328753 0	CPG	CPG: cg05012523:chr14:93328753 0	CPG: cg05012523:chr14:93328753 0
cg05045332	8138	cg05045332:chr6:32120875 TNXB;TNXB	CPG	CPG: cg05045332:chr6:32120875 TNXB;TNXB	CPG: cg05045332:chr6:32120875 TNXB;TNXB
cg05089897	8139	cg05089897:chr21:37808534 DYRK1A;DYRK1A;DYRK1A;DYRK1A;DYRK1A	CPG	CPG: cg05089897:chr21:37808534 DYRK1A;DYRK1A;DYRK1A;DYRK1A;DYRK1A	CPG: cg05089897:chr21:37808534 DYRK1A;DYRK1A;DYRK1A;DYRK1A;DYRK1A
cg05110389	8140	cg05110389:chr15:89806192 0	CPG	CPG: cg05110389:chr15:89806192 0	CPG: cg05110389:chr15:89806192 0
cg05124190	8141	cg05124190:chr6:137994426 0	CPG	CPG: cg05124190:chr6:137994426 0	CPG: cg05124190:chr6:137994426 0
cg05126514	8142	cg05126514:chr3:49672462 BSN	CPG	CPG: cg05126514:chr3:49672462 BSN	CPG: cg05126514:chr3:49672462 BSN
cg05128498	8143	cg05128498:chr21:46357248 COL6A2;COL6A2;COL6A2	CPG	CPG: cg05128498:chr21:46357248 COL6A2;COL6A2;COL6A2	CPG: cg05128498:chr21:46357248 COL6A2;COL6A2;COL6A2
cg05132905	8144	cg05132905:chr2:38453871 ATL2;ATL2;ATL2	CPG	CPG: cg05132905:chr2:38453871 ATL2;ATL2;ATL2	CPG: cg05132905:chr2:38453871 ATL2;ATL2;ATL2
cg05143174	8145	cg05143174:chr16:30450095 0	CPG	CPG: cg05143174:chr16:30450095 0	CPG: cg05143174:chr16:30450095 0
cg05184016	8146	cg05184016:chr7:149174069 ZNF862	CPG	CPG: cg05184016:chr7:149174069 ZNF862	CPG: cg05184016:chr7:149174069 ZNF862
cg05205813	8147	cg05205813:chr10:18589419 CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2	CPG	CPG: cg05205813:chr10:18589419 CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2	CPG: cg05205813:chr10:18589419 CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2;CACNB2
cg05208178	8148	cg05208178:chr2:233636667 INPP5D;INPP5D	CPG	CPG: cg05208178:chr2:233636667 INPP5D;INPP5D	CPG: cg05208178:chr2:233636667 INPP5D;INPP5D
cg05208483	8149	cg05208483:chr15:73762096 CSPG4	CPG	CPG: cg05208483:chr15:73762096 CSPG4	CPG: cg05208483:chr15:73762096 CSPG4
cg05218678	8150	cg05218678:chr6:46189500 0	CPG	CPG: cg05218678:chr6:46189500 0	CPG: cg05218678:chr6:46189500 0
cg05219423	8151	cg05219423:chr10:11331285 CUGBP2;CUGBP2;CUGBP2;CUGBP2	CPG	CPG: cg05219423:chr10:11331285 CUGBP2;CUGBP2;CUGBP2;CUGBP2	CPG: cg05219423:chr10:11331285 CUGBP2;CUGBP2;CUGBP2;CUGBP2
cg05238069	8152	cg05238069:chr17:16197860 CENPV	CPG	CPG: cg05238069:chr17:16197860 CENPV	CPG: cg05238069:chr17:16197860 CENPV
cg05256304	8153	cg05256304:chr11:116475080 SIK3	CPG	CPG: cg05256304:chr11:116475080 SIK3	CPG: cg05256304:chr11:116475080 SIK3
cg05261759	8154	cg05261759:chr9:129538130 TOR2A;TOR2A;TOR2A;TOR2A	CPG	CPG: cg05261759:chr9:129538130 TOR2A;TOR2A;TOR2A;TOR2A	CPG: cg05261759:chr9:129538130 TOR2A;TOR2A;TOR2A;TOR2A
cg05264145	8155	cg05264145:chr7:129379555 UBE2H;UBE2H	CPG	CPG: cg05264145:chr7:129379555 UBE2H;UBE2H	CPG: cg05264145:chr7:129379555 UBE2H;UBE2H
cg05300717	8156	cg05300717:chr11:65302786 DKFZp761E198	CPG	CPG: cg05300717:chr11:65302786 DKFZp761E198	CPG: cg05300717:chr11:65302786 DKFZp761E198
cg05371885	8157	cg05371885:chr6:296210 DUSP22	CPG	CPG: cg05371885:chr6:296210 DUSP22	CPG: cg05371885:chr6:296210 DUSP22
cg05373256	8158	cg05373256:chr11:61278754 C11orf9;DKFZP434K028;C11orf9	CPG	CPG: cg05373256:chr11:61278754 C11orf9;DKFZP434K028;C11orf9	CPG: cg05373256:chr11:61278754 C11orf9;DKFZP434K028;C11orf9
cg05386249	8159	cg05386249:chr13:110372090 0	CPG	CPG: cg05386249:chr13:110372090 0	CPG: cg05386249:chr13:110372090 0
cg05446414	8160	cg05446414:chr11:71388630 IL18BP;IL18BP;IL18BP;IL18BP;IL18BP;IL18BP;IL18BP	CPG	CPG: cg05446414:chr11:71388630 IL18BP;IL18BP;IL18BP;IL18BP;IL18BP;IL18BP;IL18BP	CPG: cg05446414:chr11:71388630 IL18BP;IL18BP;IL18BP;IL18BP;IL18BP;IL18BP;IL18BP
cg05492904	8161	cg05492904:chr15:49391795 CYP19A1;CYP19A1	CPG	CPG: cg05492904:chr15:49391795 CYP19A1;CYP19A1	CPG: cg05492904:chr15:49391795 CYP19A1;CYP19A1
cg05499338	8162	cg05499338:chr16:80075166 CMIP	CPG	CPG: cg05499338:chr16:80075166 CMIP	CPG: cg05499338:chr16:80075166 CMIP
cg05503887	8163	cg05503887:chr11:34598501 EHF	CPG	CPG: cg05503887:chr11:34598501 EHF	CPG: cg05503887:chr11:34598501 EHF
cg05515866	8164	cg05515866:chr2:241946735 FARP2	CPG	CPG: cg05515866:chr2:241946735 FARP2	CPG: cg05515866:chr2:241946735 FARP2
cg05523603	8165	cg05523603:chr22:49319967 0	CPG	CPG: cg05523603:chr22:49319967 0	CPG: cg05523603:chr22:49319967 0
cg05538701	8166	cg05538701:chr6:116973351 FAM26D;BET3L	CPG	CPG: cg05538701:chr6:116973351 FAM26D;BET3L	CPG: cg05538701:chr6:116973351 FAM26D;BET3L
cg05541460	8167	cg05541460:chr22:38180720 0	CPG	CPG: cg05541460:chr22:38180720 0	CPG: cg05541460:chr22:38180720 0
cg05552874	8168	cg05552874:chr10:91143123 IFIT1	CPG	CPG: cg05552874:chr10:91143123 IFIT1	CPG: cg05552874:chr10:91143123 IFIT1
cg05575921	8169	cg05575921:chr5:426378 AHRR	CPG	CPG: cg05575921:chr5:426378 AHRR	CPG: cg05575921:chr5:426378 AHRR
cg05599723	8170	cg05599723:chr1:12163660 TNFRSF1B	CPG	CPG: cg05599723:chr1:12163660 TNFRSF1B	CPG: cg05599723:chr1:12163660 TNFRSF1B
cg05603011	8171	cg05603011:chr12:69042130 0	CPG	CPG: cg05603011:chr12:69042130 0	CPG: cg05603011:chr12:69042130 0
cg05613273	8172	cg05613273:chr17:78013163 NARF;NARF;NARF;NARF	CPG	CPG: cg05613273:chr17:78013163 NARF;NARF;NARF;NARF	CPG: cg05613273:chr17:78013163 NARF;NARF;NARF;NARF
cg05625471	8173	cg05625471:chr16:31250249 ITGAM;ITGAM	CPG	CPG: cg05625471:chr16:31250249 ITGAM;ITGAM	CPG: cg05625471:chr16:31250249 ITGAM;ITGAM
cg05634218	8174	cg05634218:chr6:3707047 0	CPG	CPG: cg05634218:chr6:3707047 0	CPG: cg05634218:chr6:3707047 0
cg05690260	8175	cg05690260:chr4:25445370 SEL1L3	CPG	CPG: cg05690260:chr4:25445370 SEL1L3	CPG: cg05690260:chr4:25445370 SEL1L3
cg05696877	8176	cg05696877:chr1:78861357 IFI44L	CPG	CPG: cg05696877:chr1:78861357 IFI44L	CPG: cg05696877:chr1:78861357 IFI44L
cg05732883	8177	cg05732883:chr10:100140918 PYROXD2	CPG	CPG: cg05732883:chr10:100140918 PYROXD2	CPG: cg05732883:chr10:100140918 PYROXD2
cg05736642	8178	cg05736642:chr4:3092930 HTT	CPG	CPG: cg05736642:chr4:3092930 HTT	CPG: cg05736642:chr4:3092930 HTT
cg05753799	8179	cg05753799:chr20:3694315 C20orf27	CPG	CPG: cg05753799:chr20:3694315 C20orf27	CPG: cg05753799:chr20:3694315 C20orf27
cg05767306	8180	cg05767306:chr3:49434147 AMT;AMT;AMT;AMT;AMT	CPG	CPG: cg05767306:chr3:49434147 AMT;AMT;AMT;AMT;AMT	CPG: cg05767306:chr3:49434147 AMT;AMT;AMT;AMT;AMT
cg05793579	8181	cg05793579:chr16:72097480 0	CPG	CPG: cg05793579:chr16:72097480 0	CPG: cg05793579:chr16:72097480 0
